time_s,iters,rps,mbps,p50_us,p95_us,p99_us,cpu_pct,rss_mb,errors
1922,713260340,372542,11641.9,43.55,58.5,65.5,466.303,5,0
1932,716996029,372992,11656,43.55,58.5,65.5,464.119,5,0
1942,720730214,372855,11651.7,43.55,58.5,65.5,469.579,5,0
1952,724461986,372553,11642.3,43.55,58.5,65.5,461.622,5,0
1962,728196831,372908,11653.4,43.55,58.5,65.5,470.983,5,0
1972,731931002,372861,11651.9,43.55,58.5,65.5,466.147,5,0
1982,735662877,372603,11643.8,43.55,58.5,65.5,453.822,5,0
1992,739395822,372698,11646.8,43.55,58.5,65.5,461.934,5,0
2002,743127525,372599,11643.7,43.55,58.5,65.5,466.927,5,0
2012,746864852,372561,11642.5,43.55,58.5,65.5,470.249,5,0
2022,750597814,372719,11647.5,43.55,58.5,65.5,465.367,5,0
2032,754329265,372559,11642.5,43.55,58.5,65.5,461.934,5,0
2042,758060169,372494,11640.4,43.55,58.5,65.5,465.835,5,0
2052,761791100,372529,11641.5,43.55,58.5,65.5,460.374,5,0
2062,765529951,372715,11647.4,43.55,58.5,65.5,452.336,5,0
2072,769262241,372630,11644.7,43.55,58.5,65.5,458.814,5,0
2082,772995621,372756,11648.6,43.55,58.5,65.5,466.927,5,0
2092,776732574,373182,11661.9,43.55,58.5,65.5,457.722,5,0
2102,780457880,372474,11639.8,43.55,58.5,65.5,455.469,5,0
2112,784187170,372358,11636.2,43.55,58.5,65.5,460.53,5,0
2122,787922331,372920,11653.7,43.55,58.5,65.5,473.323,5,0
2132,791651696,372366,11636.4,43.55,58.5,65.5,468.955,5,0
2142,795385873,372837,11651.1,43.55,58.5,65.5,465.367,5,0
2152,799122104,373030,11657.2,43.55,58.5,65.5,472.231,5,0
2162,802859349,373126,11660.2,43.55,58.5,65.5,463.651,5,0
2172,806594679,372958,11654.9,43.55,58.5,65.5,462.246,5,0
2182,810330238,372977,11655.5,43.55,58.5,65.5,475.195,5,0
2192,814060637,372461,11639.4,43.55,58.5,65.5,468.019,5,0
2202,817793771,372740,11648.1,43.55,58.5,65.5,469.735,5,0
2212,821526286,372651,11645.3,43.55,58.5,65.5,466.147,5,0
2222,825259368,372743,11648.2,43.55,58.5,65.5,466.147,5,0
2233,828990010,372505,11640.8,43.55,58.5,65.5,463.183,5,0
2243,832719656,372360,11636.2,43.55,58.5,65.5,473.635,5,0
